"ID_UC0","NOME_UC1","ID_WCMC2","CATEGORI3","GRUPO4","ESFERA5","ANO_CRIA6","GID7","QUALIDAD8","ATO_LEGA9","DT_ULTIM10","CODIGO_U11","NOME_ORG12","decimalLongitude","decimalLatitude"
"2350","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BUGIO E COMPANHIA",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2010","6101","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Outros nº 74-S de 22/02/2010","31/08/2012","0000.32.2350","Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo",-40.9685751043399,-20.0633328874621
"3787","AREA DE PROTECAO AMBIENTAL DA BACIA DO CORREGO CAPAO GRANDE",NA,"Área de Proteção Ambiental","US","municipal","2018","15289","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 051/2018 de 20/09/2018","20/09/2018","1480.52.3787","Secretaria Municipal de Meio Ambiente de Nova Aurora - GO",-48.2730594920381,-18.0428801947387
"3445","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PILAR",NA,"Reserva Particular do Patrimônio Natural","US","estadual","2013","13500","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 466 de 27/06/2013","10/07/2017","0000.33.3445","Instituto Estadual do Ambiente do Rio de Janeiro",-42.7932203727809,-22.8536495671679
"145","PARQUE NACIONAL DA SERRA DA CAPIVARA","64","Parque","PI","federal","1979","6506","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 83548 de 05/06/1979","27/09/2007","0000.00.0145","Instituto Chico Mendes de Conservação da Biodiversidade",-42.5858792295193,-8.69485788336761
"1754","FLORESTA ESTADUAL DO ARAGUAIA",NA,"Floresta","US","estadual","2002","2983","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 5.630 de 07/08/2002","06/08/2009","0000.52.1754","Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás",-50.5238640523982,-13.1087437126035
"2092","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA CABECEIRA DO CAFÔFO",NA,"Reserva Particular do Patrimônio Natural","US","federal","2007","9436","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Portaria nº 25 de 11/12/2007","26/08/2011","0000.00.2092","Instituto Chico Mendes de Conservação da Biodiversidade",-42.02114365497,-22.1099358262811
"3178","PARQUE DISTRITAL SALTO DO TORORÓ",NA,"Parque","PI","estadual","2015","11660","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº 36472 de 04/05/2015","01/11/2018","0000.53.3178","Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF",-47.8309221344579,-15.9865166179979
"821","ESTAÇÃO ECOLÓGICA ITABERÁ","81049","Estação Ecológica","PI","estadual","1957","2909","Aproximado (O poligono representa uma estimativa dos limites da unidade).","Decreto nº 29881 de 12/10/1957","21/05/2019","0000.35.0821","Fundação para Conservação e a Produção Florestal do Estado de São Paulo",-49.1410488368926,-23.8439609332558
"1879","ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ",NA,"Área de Proteção Ambiental","US","municipal","2004","3619","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Lei complementar nº 3587 de 09/07/2004","28/09/2018","0350.33.1879","Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ",-43.4278281400789,-22.6294370170801
"2633","PARQUE NACIONAL DA FURNA FEIA",NA,"Parque","PI","federal","2012","6727","Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).","Decreto nº S/N de 06/06/2012","22/06/2012","0000.00.2633","Instituto Chico Mendes de Conservação da Biodiversidade",-37.5107256755315,-5.05392519919164
